"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
0,0,0,0,1,0,0,0,1,0,0,0,0,1,9.79,2.88,12.67,76
0,0,0,0,0,0,0,0,1,0,1,0,0,1,9.75,2.14,11.89,77
0,0,0,0,0,0,0,0,0,0,1,1,0,1,9.65,2.14,11.79,78
1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.6,3.57,13.17,79
0,0,0,1,0,0,0,0,1,0,0,0,0,1,9.57,2.9,12.47,80
0,0,0,0,0,0,0,1,0,0,1,0,0,1,9.52,2.44,11.96,81
0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.42,3.22,12.64,82
0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.4,3.21,12.61,83
0,0,0,1,0,0,0,0,0,0,1,0,0,1,9.31,3.02,12.33,84
0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.29,3.18,12.47,85
0,0,0,0,0,1,0,0,0,1,0,0,0,1,9.24,2.79,12.03,86
0,0,0,1,0,0,0,0,0,0,0,1,0,1,9.24,2.82,12.06,87
0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.19,3.15,12.34,88
0,0,0,1,0,0,0,0,0,0,0,0,1,1,9.19,2.66,11.85,89
0,0,0,0,0,0,0,0,0,1,0,0,1,1,9.12,2.19,11.31,90
0,0,0,0,0,0,0,0,0,0,1,0,1,1,8.99,1.96,10.95,91
0,0,0,0,1,0,0,0,0,1,0,0,0,1,8.93,3.24,12.17,92
1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.87,3.72,12.59,93
0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.86,2.52,11.38,94
0,0,0,0,0,0,0,0,1,0,0,1,0,1,8.86,1.93,10.79,95
0,0,0,0,1,0,0,0,0,0,1,0,0,1,8.8,3.07,11.87,96
0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.73,1.75,10.48,97
0,0,0,0,1,0,0,0,0,0,0,1,0,1,8.72,2.86,11.58,98
0,0,0,0,1,0,0,0,0,0,0,0,1,1,8.68,2.7,11.38,99
0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.58,2.92,11.5,100
0,0,0,0,0,0,0,1,0,0,0,1,0,1,8.58,2.25,10.83,101
1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,4.04,12.54,102
0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.45,3.31,11.76,103
0,0,0,0,0,1,0,0,0,0,1,0,0,1,8.38,2.68,11.06,104
1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.33,3.85,12.18,105
1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3,3.85,12.15,106
0,0,0,0,0,1,0,0,0,0,0,1,0,1,8.28,2.5,10.78,107
0,0,0,0,0,1,0,0,0,0,0,0,1,1,8.24,2.33,10.57,108
1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.23,3.64,11.87,109
1,0,0,0,0,0,0,0,0,0,0,0,1,0,8.15,3.48,11.63,110
0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.05,2.85,10.9,111
0,0,0,0,0,0,1,0,0,0,0,1,0,1,8.02,2.4,10.42,112
0,0,0,0,0,0,0,0,1,0,0,0,1,1,8.02,1.75,9.77,113
0,0,0,1,0,0,1,0,0,0,0,0,0,0,7.99,3.21,11.2,114
0,0,0,0,0,0,1,0,0,0,0,0,1,1,7.95,2.26,10.21,115
0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.88,3.3,11.18,116
0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.76,3.19,10.95,117
0,0,0,0,0,0,0,1,0,0,0,0,1,1,7.76,2.17,9.93,118
1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.74,3.45,11.19,119
0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.63,2.92,10.55,120
0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.36,3.41,10.77,121
0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.2,2.68,9.88,122
0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.16,3.31,10.47,123
0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.93,2.62,9.55,124
0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.92,2.45,9.37,125
