"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,55.78,0.65,56.43,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,49.53,0.65,50.18,2
0,0,2,0,0,0,0,0,0,0,0,0,0,0,44.43,0.75,45.18,3
0,0,0,2,0,0,0,0,0,0,0,0,0,0,39.94,0.84,40.78,4
0,0,0,0,2,0,0,0,0,0,0,0,0,0,35.96,0.94,36.9,5
1,1,0,0,0,0,0,0,0,0,0,0,0,1,34.08,2.61,36.69,6
1,0,1,0,0,0,0,0,0,0,0,0,0,1,32.27,2.89,35.16,7
0,0,0,0,0,2,0,0,0,0,0,0,0,0,32.26,0.86,33.12,8
0,1,1,0,0,0,0,0,0,0,0,0,0,1,31.12,2.73,33.85,9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.95,2.7,33.65,10
1,0,0,1,0,0,0,0,0,0,0,0,0,1,30.72,3.17,33.89,11
0,1,0,1,0,0,0,0,0,0,0,0,0,1,29.6,2.99,32.59,12
1,0,0,0,1,0,0,0,0,0,0,0,0,1,29.41,3.44,32.85,13
0,0,0,0,0,0,2,0,0,0,0,0,0,0,29.15,0.87,30.02,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,28.98,3,31.98,15
0,0,1,1,0,0,0,0,0,0,0,0,0,1,28.8,3,31.8,16
0,1,0,0,1,0,0,0,0,0,0,0,0,1,28.33,3.23,31.56,17
0,1,1,0,0,0,0,0,0,0,0,0,0,0,27.87,2.82,30.69,18
0,0,1,0,1,0,0,0,0,0,0,0,0,1,27.58,3.21,30.79,19
1,0,0,1,0,0,0,0,0,0,0,0,0,0,27.28,3.3,30.58,20
0,0,0,1,1,0,0,0,0,0,0,0,0,1,27.2,3.23,30.43,21
1,0,0,0,0,1,0,0,0,0,0,0,0,1,26.66,3.59,30.25,22
0,0,0,0,0,0,0,2,0,0,0,0,0,0,26.44,0.87,27.31,23
0,1,0,1,0,0,0,0,0,0,0,0,0,0,26.21,3.1,29.31,24
1,0,0,0,1,0,0,0,0,0,0,0,0,0,25.83,3.58,29.41,25
0,1,0,0,0,1,0,0,0,0,0,0,0,1,25.63,3.3,28.93,26
1,0,0,0,0,0,1,0,0,0,0,0,0,1,25.58,3.86,29.44,27
0,0,1,1,0,0,0,0,0,0,0,0,0,0,25.48,3.1,28.58,28
0,0,1,0,0,1,0,0,0,0,0,0,0,1,24.94,3.24,28.18,29
0,1,0,0,1,0,0,0,0,0,0,0,0,0,24.83,3.35,28.18,30
0,0,0,1,0,1,0,0,0,0,0,0,0,1,24.61,3.24,27.85,31
1,0,0,0,0,0,0,1,0,0,0,0,0,1,24.57,4.06,28.63,32
0,0,0,0,1,1,0,0,0,0,0,0,0,1,24.55,3.28,27.83,33
0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.14,3.32,27.46,34
1,0,0,0,0,0,0,0,0,1,0,0,0,1,24.08,4.33,28.41,35
0,0,0,0,0,0,0,0,2,0,0,0,0,0,23.95,0.79,24.74,36
0,0,0,1,1,0,0,0,0,0,0,0,0,0,23.86,3.34,27.2,37
0,1,0,0,0,0,1,0,0,0,0,0,0,1,23.53,3.49,27.02,38
1,0,0,0,0,0,0,0,0,0,1,0,0,1,23.49,4.25,27.74,39
1,0,0,0,0,0,0,0,1,0,0,0,0,1,23.33,4,27.33,40
1,0,0,0,0,0,0,0,0,0,0,1,0,1,23,4.12,27.12,41
0,0,1,0,0,0,1,0,0,0,0,0,0,1,22.88,3.36,26.24,42
1,0,0,0,0,1,0,0,0,0,0,0,0,0,22.87,3.76,26.63,43
0,1,0,0,0,0,0,1,0,0,0,0,0,1,22.67,3.71,26.38,44
0,0,0,1,0,0,1,0,0,0,0,0,0,1,22.59,3.32,25.91,45
0,0,0,0,1,0,1,0,0,0,0,0,0,1,22.57,3.35,25.92,46
1,0,0,0,0,0,0,0,0,0,0,0,1,1,22.55,4.02,26.57,47
