"RANK","Teams","Matches_Total","Matches_Won","Matches_Lost","X3.0","X3.1","X3.2","X2.3","X1.3","X0.3","Points","Sets_Won","Sets_Lost","Sets_Ration","Points_Won","Points_Lost","Points_Ratio"
1,"France",9,8,1,4,4,0,1,0,0,25,26,7,3.714,792,673,1.176
2,"Brazil",9,6,3,1,5,0,1,2,0,19,22,14,1.571,817,786,1.039
3,"Serbia",9,6,3,2,3,1,1,1,1,18,21,14,1.5,797,767,1.039
4,"Russia",9,5,4,3,0,2,1,2,1,14,19,16,1.187,787,775,1.015
5,"Canada",9,5,4,0,2,3,0,3,1,12,18,20,0.9,843,858,0.982
6,"USA",9,4,5,3,1,0,2,3,0,14,19,16,1.187,816,804,1.014
7,"Belgium",9,4,5,1,2,1,3,0,2,14,18,19,0.947,808,819,0.986
8,"Poland",9,4,5,1,2,1,1,3,1,12,17,19,0.894,806,801,1.006
9,"Bulgaria",9,4,5,0,1,3,1,2,2,10,16,22,0.727,819,861,0.951
10,"Argentina",9,3,6,0,2,1,3,0,3,11,15,22,0.681,800,837,0.955
11,"Iran",9,3,6,0,1,2,0,2,4,7,11,23,0.478,739,795,0.929
12,"Italy",9,2,7,1,0,1,1,5,1,6,13,23,0.565,798,846,0.943
