"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
0,0,0,1,0,0,1,0,0,0,0,0,0,1,13.07,3.08,16.15,42
0,0,1,0,0,0,1,0,0,0,0,0,0,1,13.06,3.07,16.13,43
0,1,0,0,1,0,0,0,0,0,0,0,0,0,13.03,3.35,16.38,44
0,0,0,0,0,0,0,0,0,2,0,0,0,0,12.91,0.9,13.81,45
0,0,0,1,1,0,0,0,0,0,0,0,0,0,12.89,3.41,16.3,46
0,1,0,0,0,0,0,1,0,0,0,0,0,1,12.86,3.31,16.17,47
0,0,1,0,1,0,0,0,0,0,0,0,0,0,12.8,3.35,16.15,48
0,0,0,0,0,0,0,0,0,0,2,0,0,0,12.65,0.73,13.38,49
0,0,0,0,0,0,1,1,0,0,0,0,0,1,12.63,2.76,15.39,50
0,0,0,0,0,0,0,0,0,0,0,2,0,0,12.49,0.57,13.06,51
0,0,0,0,0,0,0,0,0,0,0,0,2,0,12.46,0.43,12.89,52
0,1,0,0,0,0,0,0,1,0,0,0,0,1,12.35,3.13,15.48,53
0,0,0,0,0,1,0,1,0,0,0,0,0,1,12.34,2.83,15.17,54
0,1,0,0,0,0,0,0,0,1,0,0,0,1,12.14,3.44,15.58,55
0,0,0,0,1,0,0,1,0,0,0,0,0,1,12.06,3.15,15.21,56
0,1,0,0,0,0,0,0,0,0,1,0,0,1,11.95,3.27,15.22,57
0,0,1,0,0,0,0,1,0,0,0,0,0,1,11.82,3.17,14.99,58
0,1,0,0,0,0,0,0,0,0,0,1,0,1,11.82,3.08,14.9,59
0,0,0,1,0,0,0,1,0,0,0,0,0,1,11.79,3.1,14.89,60
0,1,0,0,0,0,0,0,0,0,0,0,1,1,11.72,2.92,14.64,61
0,0,0,0,0,0,0,0,0,1,1,0,0,1,11.53,2.56,14.09,62
0,0,0,0,0,0,1,0,1,0,0,0,0,1,11.49,2.53,14.02,63
0,0,0,0,0,0,0,1,1,0,0,0,0,1,11.47,2.56,14.03,64
0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.35,2.39,13.74,65
0,0,1,0,0,0,0,0,1,0,0,0,0,1,11.33,3,14.33,66
0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.31,2.67,13.98,67
0,0,1,0,0,0,0,0,0,1,0,0,0,1,11.16,3.28,14.44,68
1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.12,3.6,14.72,69
0,0,0,0,0,1,0,0,1,0,0,0,0,1,11.11,2.57,13.68,70
0,0,0,0,1,1,0,0,0,0,0,0,0,0,11.08,3.3,14.38,71
0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,3.11,14.11,72
0,0,1,0,0,0,0,0,0,0,0,1,0,1,10.88,2.92,13.8,73
0,0,1,0,0,0,0,0,0,0,0,0,1,1,10.79,2.76,13.55,74
0,0,0,0,1,0,0,0,1,0,0,0,0,1,10.78,2.92,13.7,75
0,0,0,0,0,0,0,0,0,1,0,1,0,1,10.77,2.36,13.13,76
0,1,0,0,0,1,0,0,0,0,0,0,0,0,10.75,3.2,13.95,77
0,0,0,1,0,1,0,0,0,0,0,0,0,0,10.72,3.2,13.92,78
0,0,0,0,0,0,1,0,0,1,0,0,0,1,10.69,2.73,13.42,79
0,0,1,0,0,1,0,0,0,0,0,0,0,0,10.58,3.16,13.74,80
0,0,0,1,0,0,0,0,1,0,0,0,0,1,10.58,2.95,13.53,81
0,0,0,0,0,0,0,0,1,0,1,0,0,1,10.57,2.18,12.75,82
0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.41,3.25,13.66,83
0,0,0,0,0,0,0,0,0,0,1,1,0,1,10.41,2.14,12.55,84
0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.33,2.46,12.79,85
1,0,0,0,0,0,1,0,0,0,0,0,0,0,10.31,3.78,14.09,86
0,0,0,1,0,0,0,0,0,0,1,0,0,1,10.26,3.07,13.33,87
0,0,0,1,0,0,0,0,0,0,0,1,0,1,10.16,2.87,13.03,88
0,0,0,0,0,1,0,0,0,1,0,0,0,1,10.14,2.83,12.97,89
0,0,0,1,0,0,0,0,0,0,0,0,1,1,10.07,2.71,12.78,90
0,0,0,0,1,0,0,0,0,1,0,0,0,1,9.87,3.25,13.12,91
0,0,0,0,0,0,0,0,0,1,0,0,1,1,9.85,2.19,12.04,92
1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.77,4.13,13.9,93
0,0,0,0,1,0,0,0,0,0,1,0,0,1,9.7,3.09,12.79,94
0,0,0,0,0,0,0,0,0,0,1,0,1,1,9.69,1.97,11.66,95
0,0,0,0,0,0,1,0,0,0,1,0,0,1,9.68,2.55,12.23,96
0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.66,2.94,12.6,97
1,0,0,0,0,0,0,1,0,0,0,0,0,0,9.66,3.92,13.58,98
0,0,0,0,0,0,0,0,1,0,0,1,0,1,9.62,1.98,11.6,99
0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.59,3.3,12.89,100
0,0,0,0,1,0,0,0,0,0,0,1,0,1,9.59,2.89,12.48,101
1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.55,3.96,13.51,102
0,0,0,0,1,0,0,0,0,0,0,0,1,1,9.52,2.73,12.25,103
0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.42,1.76,11.18,104
1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.39,3.75,13.14,105
0,0,0,0,0,0,0,1,0,0,0,1,0,1,9.34,2.28,11.62,106
1,0,0,0,0,0,0,0,0,0,0,0,1,0,9.27,3.59,12.86,107
0,0,0,0,0,1,0,0,0,0,1,0,0,1,9.22,2.71,11.93,108
0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.19,3.34,12.53,109
0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.18,3.22,12.4,110
0,0,0,0,0,1,0,0,0,0,0,1,0,1,9.09,2.54,11.63,111
0,0,0,0,0,1,0,0,0,0,0,0,1,1,9.02,2.38,11.4,112
0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.01,3.21,12.22,113
0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.99,2.87,11.86,114
1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.97,3.58,12.55,115
0,0,0,0,0,0,1,0,0,0,0,1,0,1,8.79,2.43,11.22,116
0,0,0,0,0,0,0,0,1,0,0,0,1,1,8.72,1.8,10.52,117
0,0,0,0,0,0,1,0,0,0,0,0,1,1,8.69,2.3,10.99,118
0,1,0,0,0,0,0,1,0,0,0,0,0,0,8.6,3.47,12.07,119
0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.6,2.95,11.55,120
0,0,0,0,0,0,0,1,0,0,0,0,1,1,8.47,2.19,10.66,121
0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.19,3.31,11.5,122
0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.03,3.27,11.3,123
0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.91,2.67,10.58,124
0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.79,2.66,10.45,125
0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.79,3.6,11.39,126
0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.78,3.26,11.04,127
0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.75,2.64,10.39,128
0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.69,2.48,10.17,129
0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.65,3.33,10.98,130
0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.61,2.79,10.4,131
0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.58,3.42,11,132
0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.44,3.22,10.66,133
0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.33,3.05,10.38,134
0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.26,2.68,9.94,135
0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.11,3.15,10.26,136
0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.11,2.47,9.58,137
0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.91,3.46,10.37,138
0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.89,2.86,9.75,139
0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.86,2.27,9.13,140
0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.8,3.06,9.86,141
0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.73,3.26,9.99,142
0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.73,2.23,8.96,143
0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.6,3.05,9.65,144
0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.56,2.58,9.14,145
0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.5,2.88,9.38,146
0,0,0,1,0,0,0,0,1,0,0,0,0,0,6.46,3.09,9.55,147
0,0,0,1,0,0,0,0,0,1,0,0,0,0,6.26,3.43,9.69,148
0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.21,2.97,9.18,149
0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.12,2.28,8.4,150
0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.1,3.23,9.33,151
0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.97,3.01,8.98,152
0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.97,2.05,8.02,153
0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.88,2.84,8.72,154
0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.85,2.06,7.91,155
0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.81,3.43,9.24,156
0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.8,2.68,8.48,157
0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.67,1.82,7.49,158
0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.62,3.26,8.88,159
0,0,0,0,1,0,0,0,0,0,0,1,0,0,5.5,3.05,8.55,160
0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.49,2.4,7.89,161
0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.42,2.88,8.3,162
0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.22,2.85,8.07,163
0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.08,2.67,7.75,164
0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.99,2.5,7.49,165
0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.88,1.88,6.76,166
0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.85,2.56,7.41,167
0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.74,2.41,7.15,168
0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.57,2.3,6.87,169
