"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,34.52,0.69,35.21,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0.67,29.58,2
0,0,2,0,0,0,0,0,0,0,0,0,0,0,24.6,0.82,25.42,3
1,1,0,0,0,0,0,0,0,0,0,0,0,1,21.28,2.7,23.98,4
0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.25,0.97,22.22,5
1,0,1,0,0,0,0,0,0,0,0,0,0,1,19.62,2.98,22.6,6
0,1,1,0,0,0,0,0,0,0,0,0,0,1,18.95,2.75,21.7,7
0,0,0,0,2,0,0,0,0,0,0,0,0,0,18.66,1.13,19.79,8
1,0,0,1,0,0,0,0,0,0,0,0,0,1,18.37,3.24,21.61,9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,17.81,2.79,20.6,10
0,1,0,1,0,0,0,0,0,0,0,0,0,1,17.77,2.99,20.76,11
1,0,0,0,1,0,0,0,0,0,0,0,0,1,17.39,3.49,20.88,12
0,0,1,1,0,0,0,0,0,0,0,0,0,1,17.32,3,20.32,13
0,1,0,0,1,0,0,0,0,0,0,0,0,1,16.87,3.22,20.09,14
0,0,0,0,0,2,0,0,0,0,0,0,0,0,16.84,0.91,17.75,15
0,0,1,0,1,0,0,0,0,0,0,0,0,1,16.5,3.22,19.72,16
0,0,0,1,1,0,0,0,0,0,0,0,0,1,16.43,3.28,19.71,17
1,0,1,0,0,0,0,0,0,0,0,0,0,0,15.93,3.09,19.02,18
0,0,0,0,0,0,2,0,0,0,0,0,0,0,15.49,0.9,16.39,19
0,1,1,0,0,0,0,0,0,0,0,0,0,0,15.4,2.84,18.24,20
1,0,0,0,0,1,0,0,0,0,0,0,0,1,15.33,3.44,18.77,21
0,1,0,0,0,1,0,0,0,0,0,0,0,1,14.81,3.07,17.88,22
0,0,0,0,1,1,0,0,0,0,0,0,0,1,14.69,3.16,17.85,23
1,0,0,0,0,0,1,0,0,0,0,0,0,1,14.61,3.61,18.22,24
1,0,0,1,0,0,0,0,0,0,0,0,0,0,14.5,3.37,17.87,25
0,0,1,0,0,1,0,0,0,0,0,0,0,1,14.48,3.03,17.51,26
0,0,0,1,0,1,0,0,0,0,0,0,0,1,14.47,3.07,17.54,27
0,0,0,0,0,0,0,2,0,0,0,0,0,0,14.44,0.9,15.34,28
1,0,0,0,0,0,0,0,0,1,0,0,0,1,14.14,3.96,18.1,29
0,1,0,1,0,0,0,0,0,0,0,0,0,0,14.06,3.1,17.16,30
1,0,0,0,0,0,0,1,0,0,0,0,0,1,14.02,3.74,17.76,31
1,0,0,0,0,0,0,0,0,0,1,0,0,1,13.94,3.79,17.73,32
1,0,0,0,0,0,0,0,0,0,0,1,0,1,13.81,3.6,17.41,33
0,0,1,1,0,0,0,0,0,0,0,0,0,0,13.75,3.12,16.87,34
1,0,0,0,0,0,0,0,0,0,0,0,1,1,13.69,3.46,17.15,35
0,0,0,0,0,0,0,0,2,0,0,0,0,0,13.49,0.67,14.16,36
1,0,0,0,0,0,0,0,1,0,0,0,0,1,13.4,3.43,16.83,37
0,1,0,0,0,0,1,0,0,0,0,0,0,1,13.39,3.19,16.58,38
1,0,0,0,1,0,0,0,0,0,0,0,0,0,13.38,3.64,17.02,39
0,0,0,0,1,0,1,0,0,0,0,0,0,1,13.33,3.16,16.49,40
0,0,0,0,0,1,1,0,0,0,0,0,0,1,13.31,2.83,16.14,41
